probe,Rval,tM1,tM2,bTau,Rs
p07,0.68,0.899,0.936,0.6028,0.77680708
p07,0.89,0.975,1,0.7802,0.91497034
p07,0.74,0.922,0.867,0.768,0.91286157
p07,0.69,0.886,0.889,0.556,0.7316216
p07,0.54,0.87,0.876,0.4581,0.625792
p07,0.57,0.815,0.772,0.3909,0.54892223
p07,0.32,0.713,0.707,0.3583,0.50663443
p07,0.64,0.882,0.804,0.6609,0.82726115
p07,0.65,0.864,0.913,0.6429,0.81679722
p07,0.63,0.879,0.825,0.7481,0.90454503
p09,0.54,0.617,0.765,0.7048,0.87333935
p09,0.68,0.697,0.851,0.7742,0.92252674
p09,0.79,0.988,0.974,0.7455,0.90509555
p09,0.72,0.986,0.966,0.7644,0.91068651
p09,0.83,0.996,0.991,0.7059,0.87419535
p09,0.51,0.697,0.794,0.6047,0.7830751
p09,0.66,0.933,0.896,0.5287,0.71244796
p09,0.51,0.968,0.978,0.4867,0.66435622
p09,0.27,0.736,0.805,0.375,0.52118537
p09,0.69,0.914,0.95,0.6146,0.78853802
p09,0.52,0.957,0.621,0.6913,0.86750034
p12,0.8,0.995,0.991,0.6415,0.82361012
p12,0.61,0.847,0.659,0.6468,0.81370651
p12,0.79,0.976,0.914,0.6556,0.82492503
p12,0.29,0.759,0.837,0.3586,0.49601676
p12,0.68,0.976,0.956,0.6595,0.82527899
p12,0.84,0.982,0.967,0.6859,0.85045742
p12,0.75,0.991,0.971,0.6766,0.85284662
p12,0.63,0.883,0.873,0.5435,0.7252373
p12,0.69,0.978,0.972,0.6277,0.80084328
p15,0.11,0.466,0.437,0.2834,0.38597557
p15,0.56,0.905,0.93,0.5354,0.69682546
p15,0.54,0.939,0.959,0.5051,0.67490979
p15,0.5,0.88,0.928,0.5792,0.74352968
p15,0.59,0.947,0.915,0.506,0.67386795
p15,0.33,0.783,0.733,0.4367,0.59824963
p15,0.01,0.394,0.461,0.2762,0.3896993
p15,0.68,0.983,0.996,0.6706,0.85097331
p15,0.58,0.965,0.942,0.5575,0.73104346
p15,0.68,0.95,0.936,0.6246,0.80082443
p15,0.28,0.722,0.731,0.4222,0.57608537
p15,0.68,0.987,0.978,0.5956,0.77389783
p15,-0.08,0.52,0.502,0.2313,0.32770966
p15,0.62,0.886,0.873,0.5945,0.77664827
p18,0.7,0.909,0.893,0.5677,0.73566614
p18,0.59,0.867,0.874,0.53,0.70230038
p18,0.6,0.93,0.897,0.6489,0.82752674
p18,0.72,0.893,0.89,0.4915,0.66221785
p18,0.54,0.684,0.795,0.5195,0.69276338
p18,0.45,0.446,0.614,0.5644,0.74000777
p18,0.54,0.978,0.974,0.5024,0.68075361
p18,0.63,0.957,0.914,0.5237,0.70301799
p18,0.63,0.998,0.995,0.4542,0.61813906
p21,0.28,0.615,0.49,0.7328,0.86642065
p21,0.59,0.976,0.982,0.7185,0.8792559
p21,0.2,0.646,0.543,0.5711,0.75353564
p21,0.09,0.712,0.678,0.5288,0.70935618
p21,0.29,0.817,0.819,0.5422,0.71966741
p21,0.34,0.898,0.866,0.5705,0.75081818
p21,0.15,0.687,0.588,0.6123,0.79754057
p21,0.32,0.808,0.746,0.6197,0.79890164
p21,0.47,0.791,0.725,0.6916,0.86230731
p21,0.83,0.995,0.991,0.6291,0.80374459
p21,0.81,0.989,1,0.7071,0.87561164
p21,0.89,0.993,1,0.7232,0.88401221
p21,0.69,0.962,0.939,0.6072,0.79232008
p21,0.74,0.99,0.998,0.7028,0.87164839
p21,0.43,0.925,0.893,0.4947,0.6614396
p21,0.89,1,0.992,0.7066,0.8221423
p25,0.51,0.879,0.855,0.601,0.7700859
p25,0.67,0.982,0.959,0.7272,0.89017036
p25,0.66,0.975,0.957,0.6784,0.85141294
p25,0.79,1,0.99,0.6675,0.84201466
p25,0.7,0.992,0.994,0.6208,0.79665765
p25,0.67,0.935,0.869,0.418,0.57288152
p25,0.72,0.988,0.993,0.707,0.87363029
p25,0.74,1,0.997,0.6421,0.81961707
p27,0.61,0.96,0.946,0.5655,0.75304232
p27,0.03,0.327,0.501,0.716,0.87745721
p27,0.77,0.921,0.945,0.7746,0.84634213
p27,0.79,0.95,0.93,0.8152,0.92594267
p27,0.52,0.845,0.783,0.6687,0.83025432
p27,0.77,0.918,0.966,0.665,0.82148657
p27,0.74,0.978,0.954,0.7642,0.91183798
p27,0.65,0.87,0.896,0.6326,0.8078266
p28,0.47,0.509,0.624,0.6851,0.85223139
p28,0.55,0.391,0.577,0.7808,0.92333979
p28,0.82,0.983,0.997,0.7931,0.92728829
p28,0.67,0.826,0.878,0.8206,0.9384136
p28,0.77,0.99,0.996,0.7803,0.92096345
p28,0.77,0.996,0.998,0.7213,0.88064163
p28,0.36,0.721,0.817,0.5883,0.7594821
p28,0.57,0.807,0.86,0.5806,0.76403246
p28,0.7,0.79,0.781,0.8673,0.96438093
p35,0.38,0.501,0.641,0.6945,0.86511639
p35,0.72,0.98,0.965,0.6704,0.84468826
p35,0.32,0.858,0.822,0.5593,0.74293255
p35,0.6,0.972,0.897,0.6348,0.81816942
p35,0.16,0.43,0.577,0.5934,0.77249453
p35,0.5,0.969,0.863,0.5793,0.76270393
p35,0.69,0.976,0.952,0.6916,0.86030667
p35,0.71,0.974,0.916,0.7409,0.90222616
p35,0.37,0.633,0.703,0.6438,0.82612764
p35,0.65,0.988,0.97,0.6993,0.87048153
p35,0.55,0.984,0.961,0.6546,0.83345837
p36,0.77,0.995,1,0.6384,0.81572533
p36,0.67,0.962,0.948,0.6669,0.8393189
p36,0.54,0.969,0.901,0.6289,0.8049306
p36,0.39,0.816,0.64,0.5678,0.74422576
p36,0.22,0.799,0.778,0.5284,0.70740841
p36,0.66,0.99,0.977,0.6463,0.81887423
p36,0.78,0.981,0.944,0.7178,0.88104383
p36,0.72,0.981,0.939,0.5986,0.7781772
p36,0.82,0.993,0.988,0.7751,0.92338376
p36,0.43,0.899,0.835,0.4467,0.61074754
p36,0.72,0.988,0.975,0.7262,0.88834932
